sequence_index,frame_id,image_path,active_leg_before,active_leg_after,active_waypoint_from,active_waypoint_to,search_heading_deg,forward_local_candidate_count,topology_recovery_candidate_count,selected_branch,selected_local_index,selected_recovery_index,leg_choice,leg_state_delta,leg_probability_previous,leg_probability_current,leg_probability_next,waypoint_switched_after_frame,waypoint_advanced_after_frame,waypoint_rollback_after_frame,gt_x,gt_y,hold_x,hold_y,local_x,local_y,recovery_x,recovery_y,fusion_hold,fusion_local,fusion_recovery,visual_x,visual_y,measurement_var_x,measurement_var_y,final_x,final_y,error_visual_m,error_final_m
2026,2026,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002026.jpg,14,13,14,15,-32.68341868676126,16,24,1,4,0,0,-1,0.935184121131897,0.06481590867042542,0.0,1,0,1,-574.8062744140625,372.47576904296875,-942.0469360351562,581.2474975585938,-942.0469360351562,581.2474975585938,-4.1773552894592285,-0.4327203929424286,0.33316007256507874,0.3335360586643219,0.33330386877059937,-942.0469360351562,581.2474975585938,49.0,49.0,-943.0223367771848,579.3165487153188,422.4350280761719,422.3342002699621
2027,2027,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002027.jpg,13,14,13,14,-7.569675444400844,16,24,1,3,0,2,1,0.43140164017677307,0.029105976223945618,0.5394923686981201,1,1,0,-572.1458740234375,370.7545166015625,-942.0469360351562,581.2474975585938,-942.0469360351562,581.2474975585938,-4.1773552894592285,-0.4327203929424286,0.3331603705883026,0.3335355520248413,0.3333040773868561,-942.0469360351562,581.2474975585938,49.0,49.0,-942.9433103714376,579.4729930773032,425.5985107421875,425.5045725072805
2028,2028,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002028.jpg,14,13,14,15,-32.68341868676126,16,24,1,4,0,0,-1,0.9351795315742493,0.06482044607400894,0.0,1,0,1,-569.4885864257812,369.0352478027344,-942.0469360351562,581.2474975585938,-942.0469360351562,581.2474975585938,-4.1773552894592285,-0.4327203929424286,0.3331601023674011,0.3335360884666443,0.333303838968277,-942.0469360351562,581.2474975585938,49.0,49.0,-942.8706866395211,579.6167624072782,428.7583923339844,428.670930963562
2029,2029,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002029.jpg,13,14,13,14,-7.569675444400844,16,24,1,3,0,2,1,0.43139371275901794,0.029112329706549644,0.539493978023529,1,1,0,-566.7642822265625,367.27215576171875,-942.0469360351562,581.2474975585938,-942.0469360351562,581.2474975585938,-4.1773552894592285,-0.4327203929424286,0.333160400390625,0.3335355818271637,0.3333040475845337,-942.0469360351562,581.2474975585938,49.0,49.0,-942.8039468404928,579.7488836290296,431.9982604980469,431.9168777069917
2030,2030,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002030.jpg,14,13,14,15,-32.68341868676126,16,24,1,4,0,0,-1,0.9351855516433716,0.06481445580720901,0.0,1,0,1,-563.7696533203125,365.3341369628906,-942.0469360351562,581.2474975585938,-942.0469360351562,581.2474975585938,-4.1773552894592285,-0.4327203929424286,0.33316007256507874,0.3335360586643219,0.33330386877059937,-942.0469360351562,581.2474975585938,49.0,49.0,-942.7426142615027,579.8703004655698,435.5597229003906,435.4839498477311
2031,2031,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002031.jpg,13,14,13,14,-7.569675444400844,16,24,1,3,0,2,1,0.43138444423675537,0.029128005728125572,0.5394875407218933,1,1,0,-561.0428466796875,363.5694580078125,-942.0469360351562,581.2474975585938,-942.0469360351562,581.2474975585938,-4.1773552894592285,-0.4327203929424286,0.333160400390625,0.3335355818271637,0.3333040475845337,-942.0469360351562,581.2474975585938,49.0,49.0,-942.6862508127007,579.981880180017,438.802734375,438.7322923932941
2032,2032,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002032.jpg,14,13,14,15,-32.68341868676126,16,24,1,4,0,0,-1,0.9351806640625,0.06481936573982239,0.0,1,0,1,-558.3824462890625,361.8601379394531,-942.0469360351562,581.2474975585938,-942.0469360351562,581.2474975585938,-4.1773552894592285,-0.4327203929424286,0.33316007256507874,0.3335360586643219,0.3333038091659546,-942.0469360351562,581.2474975585938,49.0,49.0,-942.634453898024,580.0844197703315,441.960693359375,441.89528457782853
2033,2033,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002033.jpg,13,14,13,14,-7.569675444400844,16,24,1,3,0,2,1,0.43138283491134644,0.029126467183232307,0.5394906997680664,1,1,0,-555.4598388671875,359.9823303222656,-942.0469360351562,581.2474975585938,-942.0469360351562,581.2474975585938,-4.1773552894592285,-0.4327203929424286,0.333160400390625,0.3335355818271637,0.3333040475845337,-942.0469360351562,581.2474975585938,49.0,49.0,-942.5868535395108,580.1786516621584,445.4299621582031,445.3692237017804
2034,2034,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002034.jpg,14,13,14,15,-32.68341868676126,16,24,1,4,0,0,-1,0.9351810812950134,0.06481892615556717,0.0,1,0,1,-552.535888671875,358.1036682128906,-942.0469360351562,581.2474975585938,-942.0469360351562,581.2474975585938,-4.1773552894592285,-0.4327203929424286,0.33316007256507874,0.3335360586643219,0.33330386877059937,-942.0469360351562,581.2474975585938,49.0,49.0,-942.5431097346001,580.2652489404393,448.9009094238281,448.84451699049686
2035,2035,/yh/study/new_data_2/model_dataset_new_2_flight/vi/vi_002035.jpg,13,14,13,14,-7.569675444400844,16,24,1,3,0,2,1,0.431376576423645,0.029118355363607407,0.5395050644874573,1,1,0,-549.6467895507812,356.2462463378906,-942.0469360351562,581.2474975585938,-942.0469360351562,581.2474975585938,-4.1773552894592285,-0.4327203929424286,0.3331603705883026,0.3335355520248413,0.3333040773868561,-942.0469360351562,581.2474975585938,49.0,49.0,-942.5029100275425,580.3448301571619,452.33111572265625,452.27879307552604
